Case,Request,Goal
Novartis Pharmaceuticals Corporation v. Becerra et al.,"Declare void any agreement that Novartis may be unconstitutionally
coerced into entering before this case is adjudicated",Declaration that a law is unlawful
Novartis Pharmaceuticals Corporation v. Becerra et al.,"Enjoin Defendants from forcing Novartis to sign an initial
“manufacturer agreement” or to “agree” to prices set by the Program",Block enforcement of a law
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"declare that 42 U.S.C. § 300gg-13(a)(1)–(4) violate the Appointments
Clause by empowering individuals who have not been appointed in
conformity with the Appointments Clause to unilaterally determine the
preventive care that health insurance must cover;",Declaration that a law is unlawful
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"declare that 42 U.S.C. § 300gg-13(a)(1)–(4) violate Article I of the
Constitution by delegating legislative power to the U.S. Preventive Ser-
vices Task Force, the Advisory Committee on Immunization Practices,
and the Health Resources and Services Administration without provid-
ing an “intelligible principle” to guide the agencies’ discretion",Declaration that a law is unlawful
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"declare that 42 U.S.C. § 300gg-13(a)(1) violates Article II’s vesting
clause by empowering the U.S. Preventive Services Task Force to uni-
laterally determine that preventive care that health insurance must cover
while simultaneously immunizing that agency from the President’s di-
rection, removal, or control",Declaration that a law is unlawful
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"permanently enjoin the defendants from enforcing any coverage man-
date based upon an agency rating, recommendation, or guideline that
issued after March 23, 2010",Block enforcement of an agency action
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"declare that the PrEP mandate violates the Religious Freedom Resto-
ration Act, and permanently enjoin the defendants from enforcing it
against any individual or employer who objects to the coverage of PrEP
drugs for sincere religious reasons",Declaration that agency action is unlawful
State of Washington et al. v. Department of Health and Human Services et al.,"Declare that Defendants’ PREP and SRAE Gender Conditions and actions to
effectuate them are unlawful;",Declaration that agency action is unlawful
State of Washington et al. v. Department of Health and Human Services et al.,"Enter an order pursuant to 5 U.S.C. § 705 staying the PREP Directive pending
judicial review;",Block enforcement of an agency action
State of Washington et al. v. Department of Health and Human Services et al.,"Enter an order pursuant to 5 U.S.C. § 706(2) holding unlawful and vacating the
Defendants’ PREP and SRAE Gender Conditions and Defendants’ actions to effectuate them",Vacate agency action
State of Washington et al. v. Department of Health and Human Services et al.,"Preliminarily and permanently enjoin Defendants from implementing or enforcing
the PREP and SRAE Gender Conditions",Block enforcement of an agency action
State of Washington et al. v. Department of Health and Human Services et al.,"Declare that the PREP and SRAE Gender Conditions and Defendants’ actions to
effectuate them are unconstitutional",Declaration that agency action is unlawful
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,"Awarding actual damages, consequential damages, statutory damages,
exemplary/punitive damages, costs and attorneys’ fees",Award damages
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,Awarding damages for emotional distress,Award damages
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,Awarding disgorgement and/or restitution,Award restitution
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,"Appropriate declaratory and injunctive relief enjoining Defendants from
continuing its improper and unlawful claim handling practices as set forth
herein",Block defendant action
Federal Trade Commission v. U.S. Anesthesia Partners Inc. et al.,"That USAP’s course of conduct violates Section 5(a) of the FTC Act, 15 U.S.C. §
45(a), and Section 7 of the Clayton Act, 15 U.S.C. § 18;",Block anticompetitive practices
Federal Trade Commission v. U.S. Anesthesia Partners Inc. et al.,"That Welsh Carson’s course of conduct violates Section 5(a) of the FTC Act, 15
U.S.C. § 45(a), and Section 7 of the Clayton Act, 15 U.S.C. § 18;",Block anticompetitive practices
Federal Trade Commission v. U.S. Anesthesia Partners Inc. et al.,"That Defendants are permanently enjoined from engaging in similar and related
conduct in the future",Block anticompetitive practices
Do No Harm v. Eddings,"A declaratory judgment that the Arkansas Minority Health Commission Minority
Healthcare Workforce Diversity Scholarship violates the Fourteenth Amendment to
the United States Constitution;",Declaration that a program is unlawful
Do No Harm v. Eddings,"A permanent injunction barring Defendant from selecting student applicants based on
race and from enforcing any and all racially discriminatory eligibility criteria when
awarding the Arkansas Minority Health Commission Minority Healthcare Workforce
Diversity Scholarship",Block operation of a program
Do No Harm v. Eddings,"A preliminary injunction granting the above relief throughout the pendency of this
case and a temporary restraining order preventing Defendant from selecting any schol-
arship recipients until the Court resolves the preliminary injunction",Block operation of a program
Yellowhammer Fund v. Marshall,"Declare that all of the relevant statutes are unconstitutional as applied
to lawful out-of-state abortion care",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that the statutes are unconstitutional as applied to the Plaintiff
and its associates",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that Defendant’s threats described herein violate rights under
the United States Constitution",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that prosecution of abortion funds for assisting Alabama
residents to leave the state to obtain lawful abortions is a violation of
Yellowhammer Fund’s right to travel",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that prosecution of abortion funds for assisting Alabama
residents to leave the state to obtain lawful abortions is a violation of
the right to travel for the pregnant people Yellowhammer Fund serves",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that prosecution of abortion funds for assisting Alabama
residents to leave the state to obtain lawful abortions is a due process
violation and a violation of principles of sovereignty and comity",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Permanently enjoin enforcement of Ala. Code. §§ 13A-2-23, 13A-4-3,
and 13A-4-4 against individuals and organizations, including Plaintiff,
for actions to assist Alabama residents leaving the state to obtain lawful
abortion care",Block enforcement of a law
